region,ip,prefixlength
apnic,27.100.4.0,22
apnic,27.116.56.0,22
apnic,42.99.116.0,22
apnic,43.243.112.0,22
apnic,43.249.88.0,22
apnic,43.249.40.0,22
apnic,43.249.16.0,22
apnic,43.246.212.0,22
apnic,43.243.104.0,22
apnic,43.243.100.0,22
apnic,43.243.48.0,22
apnic,43.240.92.0,22
apnic,43.229.120.0,22
apnic,43.225.28.0,22
apnic,43.251.228.0,22
apnic,43.252.224.0,22
apnic,43.250.235.0,24
apnic,45.254.44.0,22
apnic,45.252.60.0,22
apnic,45.249.228.0,22
apnic,45.254.232.0,22
apnic,45.249.176.0,22
apnic,45.127.96.0,22
apnic,45.249.140.0,22
apnic,45.249.128.0,22
apnic,45.249.172.0,22
apnic,45.125.104.0,22
apnic,59.191.232.0,21
apnic,85.217.216.0,22
apnic,103.128.0.0,16
apnic,103.218.172.0,22
apnic,103.112.208.0,22
apnic,103.218.224.0,22
apnic,103.224.72.0,22
apnic,103.98.4.0,22
apnic,103.227.104.0,22
apnic,103.231.144.0,22
apnic,103.90.36.0,22
apnic,103.231.164.0,22
apnic,103.107.48.0,22
apnic,103.218.176.0,22
apnic,103.71.244.0,22
apnic,103.70.184.0,22
apnic,103.70.120.0,22
apnic,103.70.116.0,22
apnic,103.70.112.0,22
apnic,103.70.92.0,22
apnic,103.69.104.0,22
apnic,103.203.148.0,22
apnic,103.218.136.0,22
apnic,103.79.176.0,22
apnic,103.115.84.0,22
apnic,103.212.104.0,22
apnic,103.117.84.0,22
apnic,103.204.60.0,22
apnic,103.198.4.0,22
apnic,103.193.240.0,22
apnic,103.210.0.0,22
apnic,103.212.60.0,22
apnic,103.134.148.0,22
apnic,103.133.88.0,22
apnic,103.69.96.0,22
apnic,103.214.168.0,22
apnic,103.127.116.0,22
apnic,103.215.104.0,22
apnic,103.126.232.0,22
apnic,103.126.188.0,22
apnic,103.126.140.0,22
apnic,103.125.156.0,22
apnic,103.216.104.0,22
apnic,103.216.156.0,22
apnic,103.218.120.0,22
apnic,103.117.132.0,22
apnic,103.115.236.0,22
apnic,103.69.92.0,22
apnic,103.69.100.0,22
apnic,103.69.80.0,22
apnic,103.48.144.0,22
apnic,103.244.104.0,22
apnic,103.44.20.0,22
apnic,103.43.12.0,22
apnic,103.69.84.0,22
apnic,103.35.200.0,22
apnic,103.31.220.0,22
apnic,103.31.140.0,22
apnic,103.244.92.0,22
apnic,103.249.156.0,22
apnic,103.17.12.0,22
apnic,103.250.12.0,22
apnic,103.14.200.0,22
apnic,103.11.244.0,22
apnic,103.251.176.0,22
apnic,103.7.104.0,22
apnic,103.3.232.0,22
apnic,103.2.188.0,22
apnic,103.249.216.0,22
apnic,103.243.100.0,22
apnic,103.36.88.0,22
apnic,103.242.100.0,22
apnic,103.69.52.0,22
apnic,103.64.20.0,22
apnic,103.69.56.0,22
apnic,103.69.48.0,22
apnic,103.59.32.0,22
apnic,103.69.76.0,22
apnic,103.54.200.0,22
apnic,103.55.24.0,22
apnic,103.64.136.0,22
apnic,103.170.98.0,23
apnic,103.155.58.0,23
apnic,103.161.12.0,23
apnic,103.161.36.0,23
apnic,103.156.24.0,23
apnic,103.155.86.0,23
apnic,103.155.60.0,23
apnic,103.170.218.0,23
apnic,103.154.186.0,23
apnic,103.176.0.0,23
apnic,103.153.98.0,23
apnic,103.178.10.0,23
apnic,103.161.10.0,23
apnic,103.150.10.0,23
apnic,103.149.150.0,23
apnic,103.149.4.0,23
apnic,103.148.134.0,23
apnic,103.148.122.0,23
apnic,103.148.106.0,23
apnic,103.154.192.0,23
apnic,103.158.236.0,23
apnic,103.157.222.0,23
apnic,103.172.218.0,23
apnic,103.159.86.0,23
apnic,103.158.184.0,23
apnic,103.158.134.0,23
apnic,103.158.118.0,23
apnic,103.158.116.0,23
apnic,103.161.156.0,23
apnic,103.158.114.0,23
apnic,103.158.112.0,23
apnic,103.173.246.0,23
apnic,103.159.172.0,23
apnic,103.158.80.0,23
apnic,103.159.210.0,23
apnic,103.162.38.0,23
apnic,103.160.0.0,23
apnic,103.158.74.0,23
apnic,103.174.186.0,23
apnic,103.174.154.0,23
apnic,103.162.192.0,23
apnic,103.164.226.0,23
apnic,103.161.8.0,23
apnic,103.173.160.0,23
apnic,103.161.154.0,23
apnic,103.167.252.0,23
apnic,103.157.200.0,23
apnic,103.147.108.0,23
apnic,103.172.184.0,23
apnic,103.146.6.0,23
apnic,103.119.236.0,23
apnic,103.115.2.0,23
apnic,103.110.128.0,23
apnic,103.146.166.0,23
apnic,103.106.66.0,23
apnic,103.224.214.0,23
apnic,103.98.76.0,23
apnic,103.98.12.0,23
apnic,103.127.106.0,23
apnic,103.231.34.0,23
apnic,103.235.90.0,23
apnic,103.236.116.0,23
apnic,103.76.48.0,23
apnic,103.241.176.0,23
apnic,103.65.234.0,23
apnic,103.48.28.0,23
apnic,103.21.64.0,23
apnic,103.249.224.0,23
apnic,103.83.18.0,23
apnic,103.129.14.0,23
apnic,103.172.192.0,23
apnic,103.143.186.0,23
apnic,103.145.152.0,23
apnic,103.135.44.0,23
apnic,103.142.152.0,23
apnic,103.142.150.0,23
apnic,103.144.238.0,23
apnic,103.142.66.0,23
apnic,103.145.230.0,23
apnic,103.140.194.0,23
apnic,103.140.110.0,23
apnic,103.136.212.0,23
apnic,103.209.188.0,23
apnic,103.144.162.0,23
apnic,103.173.145.0,24
apnic,103.204.12.0,24
apnic,103.248.201.0,24
apnic,103.247.189.0,24
apnic,103.246.105.0,24
apnic,103.245.145.0,24
apnic,103.249.226.0,24
apnic,103.251.46.0,24
apnic,103.254.231.0,24
apnic,103.215.14.0,24
apnic,103.237.82.0,24
apnic,103.198.0.0,24
apnic,103.234.13.0,24
apnic,103.231.237.0,24
apnic,103.187.183.0,24
apnic,103.182.248.0,24
apnic,103.226.219.0,24
apnic,103.177.75.0,24
apnic,103.206.159.0,24
apnic,103.174.250.0,24
apnic,103.175.126.0,24
apnic,103.177.18.0,24
apnic,103.239.105.0,24
apnic,103.158.18.0,24
