region,version,ip,prefixlength,state
ripencc,ipv4,37.44.224.0,22,allocated
ripencc,ipv4,80.94.96.0,20,allocated
ripencc,ipv4,82.113.0.0,19,allocated
ripencc,ipv4,87.254.224.0,19,allocated
ripencc,ipv4,87.238.104.0,21,allocated
ripencc,ipv4,88.209.64.0,18,allocated
ripencc,ipv4,91.213.192.0,24,allocated
ripencc,ipv4,91.199.109.0,24,assigned
ripencc,ipv4,176.114.96.0,20,allocated
ripencc,ipv4,176.121.52.0,22,assigned
ripencc,ipv4,185.47.116.0,22,allocated
ripencc,ipv4,185.162.120.0,22,allocated
ripencc,ipv4,185.193.108.0,22,allocated
ripencc,ipv4,185.250.4.0,22,allocated
ripencc,ipv4,185.243.3.0,24,allocated
ripencc,ipv4,188.191.136.0,21,allocated
ripencc,ipv4,193.35.2.0,23,allocated
ripencc,ipv4,193.34.228.0,23,allocated
ripencc,ipv4,195.78.0.0,19,allocated
ripencc,ipv4,195.20.192.0,23,assigned
ripencc,ipv4,213.133.72.0,21,allocated
ripencc,ipv6,2a01:8fe0::,32,allocated
ripencc,ipv6,2a06:92c0::,32,allocated
ripencc,ipv6,2a07:9080::,29,allocated
ripencc,ipv6,2a0b:8000::,29,allocated
ripencc,ipv6,2a0f:b980::,29,allocated
