region,ip,prefixlength,state
afrinic,41.244.0.0,16,allocated
afrinic,41.202.192.0,19,allocated
afrinic,41.211.96.0,19,allocated
afrinic,41.205.64.0,19,allocated
afrinic,41.205.0.0,19,allocated
afrinic,41.204.64.0,19,allocated
afrinic,41.92.248.0,21,allocated
afrinic,41.77.80.0,21,allocated
afrinic,41.92.128.0,21,allocated
afrinic,41.92.208.0,21,allocated
afrinic,41.92.152.0,21,allocated
afrinic,41.223.28.0,22,allocated
afrinic,41.217.148.0,22,allocated
afrinic,41.216.232.0,22,allocated
afrinic,41.92.216.0,22,allocated
afrinic,41.92.180.0,22,allocated
afrinic,41.92.196.0,22,allocated
afrinic,41.92.200.0,22,allocated
afrinic,41.191.100.0,22,allocated
afrinic,41.190.224.0,22,allocated
afrinic,41.92.184.0,22,allocated
afrinic,41.92.224.0,24,allocated
afrinic,102.244.0.0,14,allocated
afrinic,102.132.16.0,20,allocated
afrinic,102.219.44.0,22,allocated
afrinic,102.218.164.0,22,allocated
afrinic,102.219.68.0,22,allocated
afrinic,102.220.16.0,22,allocated
afrinic,102.218.252.0,22,assigned
afrinic,102.216.38.0,24,allocated
afrinic,102.135.189.0,24,assigned
afrinic,102.223.6.0,24,assigned
afrinic,102.220.222.0,24,assigned
afrinic,129.0.0.0,16,allocated
afrinic,154.72.128.0,18,allocated
afrinic,154.70.96.0,19,allocated
afrinic,154.126.128.0,19,allocated
afrinic,154.126.160.0,19,allocated
afrinic,165.210.0.0,15,allocated
afrinic,169.239.40.0,22,allocated
afrinic,169.255.4.0,22,allocated
afrinic,192.145.186.0,23,assigned
afrinic,195.24.192.0,19,allocated
afrinic,196.202.232.0,21,allocated
afrinic,196.3.90.0,24,assigned
afrinic,196.49.38.0,24,assigned
afrinic,196.49.84.0,24,assigned
afrinic,196.60.6.0,24,assigned
afrinic,196.60.7.0,24,assigned
afrinic,196.60.84.0,24,assigned
afrinic,196.216.212.0,24,assigned
afrinic,197.159.0.0,19,allocated
