region,version,ip,prefixlength,state
afrinic,ipv6,2c0f:eeb8::,32,allocated
afrinic,ipv6,2c0f:f170::,32,allocated
afrinic,ipv6,2c0f:f430::,32,allocated
afrinic,ipv6,2c0f:f490::,32,allocated
afrinic,ipv6,2c0f:f618::,32,allocated
afrinic,ipv6,2c0f:f7c0::,32,allocated
afrinic,ipv6,2c0f:f8e8::,32,allocated
afrinic,ipv6,2c0f:fa00::,32,allocated
afrinic,ipv6,2c0f:fa68::,32,allocated
afrinic,ipv6,2c0f:fca8::,32,allocated
afrinic,ipv6,2c0f:fcf8::,32,allocated
afrinic,ipv6,2c0f:fd88::,32,allocated
afrinic,ipv6,2001:43f8:1a0::,48,assigned
afrinic,ipv6,2001:43f8:1d0::,48,assigned
afrinic,ipv6,2001:43f8:240::,48,assigned
afrinic,ipv6,2001:43f8:241::,48,assigned
afrinic,ipv6,2001:43f8:2d0::,48,assigned
afrinic,ipv6,2001:43f8:300::,48,assigned
afrinic,ipv6,2001:43f8:800::,42,assigned
afrinic,ipv6,2001:43f8:ae0::,48,assigned
afrinic,ipv6,2001:43f8:ae1::,48,assigned
afrinic,ipv6,2001:43f8:b40::,48,assigned
afrinic,ipv6,2001:43f8:b90::,48,assigned
afrinic,ipv6,2001:43f8:bd0::,48,assigned
afrinic,ipv6,2001:43f8:c00::,48,assigned
afrinic,ipv6,2001:43f8:dd0::,48,assigned
afrinic,ipv6,2001:43f8:de0::,48,assigned
afrinic,ipv6,2001:43f8:1360::,48,assigned
afrinic,ipv6,2001:43f8:13d0::,48,assigned
afrinic,ipv6,2001:43f8:1600::,48,assigned
afrinic,ipv6,2001:43f8:1650::,48,assigned
afrinic,ipv6,2001:43fe:4000::,48,assigned
afrinic,ipv6,2001:43fe:5000::,48,assigned
afrinic,ipv6,2001:43fe:8000::,48,assigned
