region,ip,prefixlength,state
apnic,27.122.0.0,22,allocated
apnic,43.255.236.0,22,allocated
apnic,43.224.192.0,22,allocated
apnic,43.245.212.0,22,allocated
apnic,45.114.232.0,23,allocated
apnic,61.5.208.0,20,allocated
apnic,101.101.0.0,18,allocated
apnic,103.43.156.0,22,allocated
apnic,103.24.112.0,22,allocated
apnic,103.29.152.0,22,allocated
apnic,103.17.44.0,22,allocated
apnic,103.2.184.0,22,allocated
apnic,103.23.52.0,22,allocated
apnic,103.123.232.0,23,allocated
apnic,103.173.58.0,23,allocated
apnic,103.152.32.0,24,allocated
apnic,103.105.191.0,24,assigned
apnic,113.20.32.0,20,allocated
apnic,113.20.48.0,20,allocated
apnic,113.21.96.0,20,allocated
apnic,113.21.112.0,20,allocated
apnic,114.69.176.0,20,allocated
apnic,114.69.192.0,20,allocated
apnic,114.69.208.0,20,allocated
apnic,115.126.160.0,20,allocated
apnic,115.126.176.0,20,allocated
apnic,118.179.224.0,19,allocated
apnic,163.47.224.0,22,allocated
apnic,163.47.248.0,22,allocated
apnic,175.158.128.0,18,allocated
apnic,180.214.96.0,19,allocated
apnic,202.87.128.0,19,allocated
apnic,202.22.128.0,19,allocated
apnic,202.22.224.0,20,allocated
apnic,202.171.64.0,20,allocated
apnic,202.166.176.0,21,allocated
apnic,202.0.156.0,22,assigned
apnic,203.104.48.0,20,allocated
apnic,203.147.64.0,20,allocated
apnic,203.80.48.0,21,allocated
apnic,203.147.80.0,21,allocated
apnic,203.34.36.0,24,assigned
apnic,220.156.160.0,20,allocated
apnic,223.29.128.0,19,allocated
apnic,223.29.160.0,20,allocated
