region,version,ip,prefixlength,state
ripencc,ipv4,5.57.8.0,21,allocated
ripencc,ipv4,31.29.0.0,19,allocated
ripencc,ipv4,31.186.48.0,21,allocated
ripencc,ipv4,31.192.248.0,21,allocated
ripencc,ipv4,37.218.128.0,18,allocated
ripencc,ipv4,46.251.192.0,19,allocated
ripencc,ipv4,46.226.208.0,21,allocated
ripencc,ipv4,46.235.72.0,22,allocated
ripencc,ipv4,77.235.0.0,19,allocated
ripencc,ipv4,77.95.56.0,21,allocated
ripencc,ipv4,80.72.176.0,20,allocated
ripencc,ipv4,81.20.16.0,20,allocated
ripencc,ipv4,81.88.192.0,20,allocated
ripencc,ipv4,85.113.0.0,19,allocated
ripencc,ipv4,89.237.192.0,18,allocated
ripencc,ipv4,91.247.60.0,22,assigned
ripencc,ipv4,91.247.56.0,22,assigned
ripencc,ipv4,91.205.48.0,22,assigned
ripencc,ipv4,91.192.64.0,22,assigned
ripencc,ipv4,91.229.224.0,23,assigned
ripencc,ipv4,91.207.28.0,23,assigned
ripencc,ipv4,91.213.233.0,24,assigned
ripencc,ipv4,92.245.96.0,19,allocated
ripencc,ipv4,92.62.64.0,20,allocated
ripencc,ipv4,93.157.224.0,21,assigned
ripencc,ipv4,94.143.192.0,21,allocated
ripencc,ipv4,95.87.80.0,20,allocated
ripencc,ipv4,95.87.64.0,21,allocated
ripencc,ipv4,95.87.72.0,21,allocated
ripencc,ipv4,95.215.244.0,22,assigned
ripencc,ipv4,109.201.160.0,19,allocated
ripencc,ipv4,109.71.224.0,21,allocated
ripencc,ipv4,139.28.28.0,22,allocated
ripencc,ipv4,146.19.220.0,24,allocated
ripencc,ipv4,158.181.128.0,17,allocated
ripencc,ipv4,158.181.0.0,19,allocated
ripencc,ipv4,176.123.224.0,19,assigned
ripencc,ipv4,176.126.164.0,22,assigned
ripencc,ipv4,178.216.208.0,21,assigned
ripencc,ipv4,178.217.168.0,21,assigned
ripencc,ipv4,185.53.228.0,22,allocated
ripencc,ipv4,185.54.252.0,22,allocated
ripencc,ipv4,185.66.252.0,22,allocated
ripencc,ipv4,185.88.32.0,22,allocated
ripencc,ipv4,185.117.148.0,22,allocated
ripencc,ipv4,185.229.36.0,22,allocated
ripencc,ipv4,185.211.228.0,22,allocated
ripencc,ipv4,185.161.48.0,22,allocated
ripencc,ipv4,185.157.136.0,22,allocated
ripencc,ipv4,185.48.136.0,22,allocated
ripencc,ipv4,185.138.100.0,22,allocated
ripencc,ipv4,185.29.184.0,22,allocated
ripencc,ipv4,185.20.120.0,22,allocated
ripencc,ipv4,185.138.184.0,22,allocated
ripencc,ipv4,185.39.79.0,24,allocated
ripencc,ipv4,185.1.151.0,24,assigned
ripencc,ipv4,185.1.110.0,24,assigned
ripencc,ipv4,188.244.124.0,24,allocated
ripencc,ipv4,193.106.48.0,22,assigned
ripencc,ipv4,193.34.225.0,24,allocated
ripencc,ipv4,193.176.239.0,24,allocated
ripencc,ipv4,193.151.226.0,24,assigned
ripencc,ipv4,194.152.36.0,23,assigned
ripencc,ipv4,194.176.111.0,24,assigned
ripencc,ipv4,195.38.160.0,19,allocated
ripencc,ipv4,195.114.240.0,20,allocated
ripencc,ipv4,195.54.180.0,23,assigned
ripencc,ipv4,195.216.237.0,24,assigned
ripencc,ipv4,212.241.0.0,19,allocated
ripencc,ipv4,212.42.96.0,19,allocated
ripencc,ipv4,212.97.0.0,19,allocated
ripencc,ipv4,212.112.96.0,19,allocated
ripencc,ipv4,212.2.224.0,21,allocated
ripencc,ipv4,212.2.232.0,22,allocated
ripencc,ipv4,213.145.128.0,19,allocated
ripencc,ipv4,213.109.64.0,21,assigned
ripencc,ipv4,213.232.200.0,24,allocated
ripencc,ipv4,217.29.16.0,20,allocated
ripencc,ipv6,2a02:820::,32,allocated
ripencc,ipv6,2a10:680::,32,allocated
ripencc,ipv6,2a00:47a0::,32,allocated
ripencc,ipv6,2a00:5700::,32,allocated
ripencc,ipv6,2a00:7160::,32,allocated
ripencc,ipv6,2a00:b020::,32,allocated
ripencc,ipv6,2a01:96a0::,32,allocated
ripencc,ipv6,2a01:9d00::,32,allocated
ripencc,ipv6,2a01:bfa0::,32,allocated
ripencc,ipv6,2a04:5600::,29,allocated
ripencc,ipv6,2a04:b340::,29,allocated
ripencc,ipv6,2a05:c880::,29,allocated
ripencc,ipv6,2a0b:6e40::,29,allocated
ripencc,ipv6,2a0b:d7c0::,29,allocated
ripencc,ipv6,2a0d:1d80::,29,allocated
ripencc,ipv6,2a0d:dd00::,29,allocated
ripencc,ipv6,2a0f:5240::,32,allocated
ripencc,ipv6,2a11:a380::,29,allocated
ripencc,ipv6,2a12:db40::,29,allocated
ripencc,ipv6,2001:7f8:3c::,48,assigned
ripencc,ipv6,2001:7f8:e5::,48,assigned
ripencc,ipv6,2001:678:5fc::,48,assigned
ripencc,ipv6,2001:67c:87c::,48,assigned
ripencc,ipv6,2001:67c:12e0::,48,assigned
ripencc,ipv6,2001:67c:2264::,48,assigned
ripencc,ipv6,2001:67c:2bf4::,48,assigned
