region,version,ip,prefixlength
ripencc,ipv4,91.142.142.0,24
ripencc,ipv4,91.195.138.0,23
ripencc,ipv4,91.198.49.0,24
ripencc,ipv4,91.198.61.0,24
ripencc,ipv4,91.198.124.0,24
ripencc,ipv4,91.199.73.0,24
ripencc,ipv4,91.199.111.0,24
ripencc,ipv4,91.199.191.0,24
ripencc,ipv4,91.208.70.0,24
ripencc,ipv4,91.208.199.0,24
ripencc,ipv4,91.212.126.0,24
ripencc,ipv4,91.212.178.0,24
ripencc,ipv4,91.213.1.0,24
ripencc,ipv4,91.213.245.0,24
ripencc,ipv4,91.213.253.0,24
ripencc,ipv4,91.213.254.0,24
ripencc,ipv4,91.216.91.0,24
ripencc,ipv4,91.216.119.0,24
ripencc,ipv4,91.216.148.0,24
ripencc,ipv4,91.216.170.0,24
ripencc,ipv4,91.216.201.0,24
ripencc,ipv4,91.216.223.0,24
ripencc,ipv4,91.217.147.0,24
ripencc,ipv4,91.217.193.0,24
ripencc,ipv4,91.217.238.0,24
ripencc,ipv4,91.220.50.0,24
ripencc,ipv4,91.220.65.0,24
ripencc,ipv4,91.220.182.0,24
ripencc,ipv4,91.220.242.0,24
ripencc,ipv4,91.223.0.0,24
ripencc,ipv4,91.223.8.0,24
ripencc,ipv4,91.223.157.0,24
ripencc,ipv4,91.227.4.0,23
ripencc,ipv4,91.227.6.0,24
ripencc,ipv4,91.228.169.0,24
ripencc,ipv4,91.228.255.0,24
ripencc,ipv4,91.229.34.0,24
ripencc,ipv4,91.229.35.0,24
ripencc,ipv4,91.229.44.0,23
ripencc,ipv4,91.229.155.0,24
ripencc,ipv4,91.229.184.0,24
ripencc,ipv4,91.230.81.0,24
ripencc,ipv4,91.230.85.0,24
ripencc,ipv4,91.232.174.0,24
ripencc,ipv4,91.233.80.0,24
ripencc,ipv4,91.235.64.0,24
ripencc,ipv4,91.235.104.0,23
ripencc,ipv4,91.239.204.0,24
ripencc,ipv4,91.239.242.0,24
ripencc,ipv4,91.240.26.0,24
ripencc,ipv4,91.240.37.0,24
ripencc,ipv4,91.240.108.0,24
ripencc,ipv4,91.244.116.0,24
ripencc,ipv4,91.244.226.0,24
ripencc,ipv4,91.244.227.0,24
ripencc,ipv4,139.179.0.0,16
ripencc,ipv4,144.122.0.0,16
ripencc,ipv4,155.223.0.0,16
ripencc,ipv4,159.100.60.0,22
ripencc,ipv4,160.75.0.0,16
ripencc,ipv4,161.9.0.0,16
ripencc,ipv4,168.139.0.0,16
ripencc,ipv4,176.117.96.0,21
ripencc,ipv4,185.1.95.0,24
ripencc,ipv4,185.1.158.0,24
ripencc,ipv4,185.1.202.0,24
ripencc,ipv4,185.1.221.0,24
ripencc,ipv4,192.70.133.0,24
ripencc,ipv4,192.70.134.0,24
ripencc,ipv4,192.129.87.0,24
ripencc,ipv4,192.160.21.0,24
ripencc,ipv4,193.23.156.0,24
ripencc,ipv4,193.25.124.0,23
ripencc,ipv4,193.28.225.0,24
ripencc,ipv4,193.31.7.0,24
ripencc,ipv4,193.32.53.0,24
ripencc,ipv4,193.32.55.0,24
ripencc,ipv4,193.32.57.0,24
ripencc,ipv4,193.34.132.0,23
ripencc,ipv4,193.34.205.0,24
ripencc,ipv4,193.36.0.0,24
ripencc,ipv4,193.36.39.0,24
ripencc,ipv4,193.36.184.0,24
ripencc,ipv4,193.37.135.0,24
ripencc,ipv4,193.37.154.0,24
ripencc,ipv4,193.41.2.0,23
ripencc,ipv4,193.41.225.0,24
ripencc,ipv4,193.42.216.0,24
ripencc,ipv4,193.58.236.0,24
ripencc,ipv4,193.104.13.0,24
ripencc,ipv4,193.104.109.0,24
ripencc,ipv4,193.104.124.0,24
ripencc,ipv4,193.104.138.0,24
ripencc,ipv4,193.104.201.0,24
ripencc,ipv4,193.105.211.0,24
ripencc,ipv4,193.105.243.0,24
ripencc,ipv4,193.108.213.0,24
ripencc,ipv4,193.109.134.0,23
ripencc,ipv4,193.110.170.0,23
ripencc,ipv4,193.110.208.0,21
ripencc,ipv4,193.138.116.0,24
ripencc,ipv4,193.164.9.0,24
ripencc,ipv4,193.169.50.0,24
ripencc,ipv4,193.186.208.0,24
ripencc,ipv4,193.189.142.0,24
ripencc,ipv4,193.200.170.0,24
ripencc,ipv4,193.200.180.0,24
ripencc,ipv4,193.200.188.0,24
ripencc,ipv4,193.201.128.0,22
ripencc,ipv4,193.202.18.0,24
ripencc,ipv4,193.202.120.0,24
ripencc,ipv4,193.218.113.0,24
ripencc,ipv4,193.223.76.0,24
ripencc,ipv4,193.238.25.0,24
ripencc,ipv4,193.254.228.0,23
ripencc,ipv4,193.254.252.0,23
ripencc,ipv4,194.0.130.0,24
ripencc,ipv4,194.0.142.0,24
ripencc,ipv4,194.0.202.0,24
ripencc,ipv4,194.24.168.0,23
ripencc,ipv4,194.24.224.0,23
ripencc,ipv4,194.29.208.0,21
ripencc,ipv4,194.32.84.0,23
ripencc,ipv4,194.36.160.0,24
ripencc,ipv4,194.49.126.0,24
ripencc,ipv4,194.50.84.0,24
ripencc,ipv4,194.50.179.0,24
ripencc,ipv4,194.60.73.0,24
ripencc,ipv4,194.107.22.0,24
ripencc,ipv4,194.110.213.0,24
ripencc,ipv4,194.125.232.0,22
ripencc,ipv4,194.126.230.0,24
ripencc,ipv4,194.140.227.0,24
ripencc,ipv4,194.156.165.0,24
ripencc,ipv4,194.242.32.0,24
ripencc,ipv4,194.247.59.0,24
