region,ip,prefixlength,org
arin,23.185.48.0,24,n/a
arin,23.190.112.0,24,n/a
arin,24.51.64.0,18,n/a
arin,24.206.0.0,19,n/a
arin,24.231.32.0,19,n/a
arin,24.244.128.0,18,n/a
arin,64.66.0.0,20,n/a
arin,64.150.192.0,18,n/a
arin,65.75.64.0,18,n/a
arin,66.85.2.0,24,n/a
arin,66.226.160.0,19,n/a
arin,69.4.160.0,20,n/a
arin,104.166.32.0,20,n/a
arin,108.60.224.0,19,n/a
arin,141.193.84.0,22,n/a
arin,161.199.175.0,24,n/a
arin,165.140.144.0,22,n/a
arin,192.231.36.0,24,n/a
arin,199.102.188.0,22,n/a
arin,204.236.64.0,18,n/a
arin,208.87.32.0,21,n/a
arin,216.137.0.0,20,n/a
