region,ip,prefixlength,org
afrinic,41.73.96.0,19,n/a
afrinic,41.203.192.0,20,n/a
afrinic,41.221.176.0,20,n/a
afrinic,102.68.176.0,22,n/a
afrinic,102.130.232.0,22,n/a
afrinic,102.164.40.0,22,n/a
afrinic,102.165.96.0,20,n/a
afrinic,102.213.136.0,22,n/a
afrinic,102.217.24.0,22,n/a
afrinic,102.221.132.0,22,n/a
afrinic,102.222.204.0,22,n/a
afrinic,102.223.64.0,22,n/a
afrinic,154.70.192.0,22,n/a
afrinic,154.118.128.0,18,n/a
afrinic,165.90.208.0,20,n/a
afrinic,196.50.16.0,22,n/a
afrinic,196.200.48.0,20,n/a
afrinic,196.200.80.0,20,n/a
afrinic,196.251.156.0,22,n/a
afrinic,197.155.128.0,18,n/a
afrinic,217.64.96.0,20,n/a
afrinic,217.170.144.0,20,n/a
