region,version,ip,prefixlength
ripencc,ipv4,51.36.0.0,16
ripencc,ipv4,51.39.0.0,16
ripencc,ipv4,77.87.16.0,21
ripencc,ipv4,86.111.192.0,21
ripencc,ipv4,87.76.64.0,19
ripencc,ipv4,87.76.96.0,19
ripencc,ipv4,91.195.88.0,23
ripencc,ipv4,91.198.62.0,24
ripencc,ipv4,91.198.102.0,24
ripencc,ipv4,91.198.251.0,24
ripencc,ipv4,91.199.107.0,24
ripencc,ipv4,91.199.187.0,24
ripencc,ipv4,91.206.134.0,23
ripencc,ipv4,91.208.4.0,24
ripencc,ipv4,91.208.156.0,24
ripencc,ipv4,91.209.253.0,24
ripencc,ipv4,91.212.67.0,24
ripencc,ipv4,91.212.164.0,24
ripencc,ipv4,91.213.18.0,24
ripencc,ipv4,91.213.205.0,24
ripencc,ipv4,91.213.213.0,24
ripencc,ipv4,91.221.22.0,23
ripencc,ipv4,91.221.184.0,23
ripencc,ipv4,91.221.202.0,23
ripencc,ipv4,91.222.200.0,22
ripencc,ipv4,91.223.210.0,24
ripencc,ipv4,91.227.22.0,24
ripencc,ipv4,91.227.24.0,23
ripencc,ipv4,91.229.32.0,23
ripencc,ipv4,91.229.52.0,22
ripencc,ipv4,91.229.220.0,24
ripencc,ipv4,91.230.124.0,23
ripencc,ipv4,91.233.174.0,24
ripencc,ipv4,91.237.21.0,24
ripencc,ipv4,91.237.22.0,23
ripencc,ipv4,91.237.28.0,22
ripencc,ipv4,91.238.113.0,24
ripencc,ipv4,91.247.52.0,22
ripencc,ipv4,94.158.64.0,20
ripencc,ipv4,166.87.0.0,16
ripencc,ipv4,167.111.0.0,16
ripencc,ipv4,176.110.100.0,24
ripencc,ipv4,185.1.58.0,24
ripencc,ipv4,185.1.126.0,24
ripencc,ipv4,185.1.188.0,24
ripencc,ipv4,185.1.239.0,24
ripencc,ipv4,192.162.72.0,22
ripencc,ipv4,192.203.227.0,24
ripencc,ipv4,192.251.61.0,24
ripencc,ipv4,192.251.62.0,24
ripencc,ipv4,192.251.63.0,24
ripencc,ipv4,192.251.64.0,24
ripencc,ipv4,192.251.65.0,24
ripencc,ipv4,193.8.250.0,24
ripencc,ipv4,193.19.90.0,23
ripencc,ipv4,193.19.244.0,22
ripencc,ipv4,193.22.249.0,24
ripencc,ipv4,193.23.180.0,24
ripencc,ipv4,193.27.7.0,24
ripencc,ipv4,193.28.9.0,24
ripencc,ipv4,193.28.10.0,24
ripencc,ipv4,193.28.94.0,24
ripencc,ipv4,193.29.50.0,24
ripencc,ipv4,193.37.143.0,24
ripencc,ipv4,193.42.220.0,24
ripencc,ipv4,193.47.102.0,24
ripencc,ipv4,193.104.40.0,24
ripencc,ipv4,193.104.204.0,24
ripencc,ipv4,193.105.89.0,24
ripencc,ipv4,193.105.119.0,24
ripencc,ipv4,193.109.218.0,24
ripencc,ipv4,193.142.222.0,24
ripencc,ipv4,193.169.190.0,23
ripencc,ipv4,193.194.122.0,24
ripencc,ipv4,193.200.247.0,24
ripencc,ipv4,193.227.127.0,24
ripencc,ipv4,194.0.15.0,24
ripencc,ipv4,194.33.68.0,24
ripencc,ipv4,194.33.70.0,23
ripencc,ipv4,194.36.164.0,24
ripencc,ipv4,194.50.35.0,24
ripencc,ipv4,194.126.231.0,24
ripencc,ipv4,195.3.236.0,22
ripencc,ipv4,195.10.197.0,24
ripencc,ipv4,195.14.19.0,24
ripencc,ipv4,195.34.68.0,23
ripencc,ipv4,195.43.137.0,24
ripencc,ipv4,195.47.234.0,24
ripencc,ipv4,195.66.100.0,24
ripencc,ipv4,195.66.128.0,23
ripencc,ipv4,195.78.232.0,22
ripencc,ipv4,195.85.224.0,24
ripencc,ipv4,195.88.244.0,23
ripencc,ipv4,195.114.106.0,23
ripencc,ipv4,195.128.131.0,24
ripencc,ipv4,195.149.65.0,24
ripencc,ipv4,195.149.91.0,24
ripencc,ipv4,195.170.180.0,24
ripencc,ipv4,195.182.31.0,24
ripencc,ipv4,195.189.212.0,23
ripencc,ipv4,195.191.6.0,23
ripencc,ipv4,195.242.188.0,24
ripencc,ipv4,195.242.196.0,22
ripencc,ipv4,195.246.104.0,23
ripencc,ipv4,196.1.3.0,24
ripencc,ipv4,196.1.6.0,24
ripencc,ipv4,196.1.64.0,22
ripencc,ipv4,196.3.66.0,24
ripencc,ipv4,196.15.32.0,19
ripencc,ipv4,198.11.0.0,22
ripencc,ipv4,198.36.32.0,20
ripencc,ipv4,198.51.12.0,24
ripencc,ipv4,213.5.168.0,21
ripencc,ipv6,2001:678:cc::,48
ripencc,ipv6,2001:7f8:d1::,48
ripencc,ipv6,2001:678:39c::,48
ripencc,ipv6,2001:67c:130::,48
ripencc,ipv6,2001:67c:3e8::,47
ripencc,ipv6,2001:7f8:102::,48
ripencc,ipv6,2001:7f8:108::,48
ripencc,ipv6,2001:7f8:129::,48
ripencc,ipv6,2001:67c:1198::,47
ripencc,ipv6,2001:67c:12e4::,48
ripencc,ipv6,2001:67c:18c8::,47
ripencc,ipv6,2001:67c:1b0c::,48
ripencc,ipv6,2001:67c:2164::,48
ripencc,ipv6,2001:67c:2624::,48
ripencc,ipv6,2001:67c:27b8::,48
ripencc,ipv6,2001:67c:2994::,48
