region,version,ip,prefixlength,org
arin,ipv4,23.170.80.0,24,n/a
arin,ipv4,45.42.232.0,22,n/a
arin,ipv4,104.219.24.0,22,n/a
arin,ipv4,104.255.232.0,22,n/a
arin,ipv4,162.212.210.0,23,n/a
arin,ipv4,192.58.140.0,23,n/a
arin,ipv4,199.192.224.0,23,n/a
arin,ipv4,204.13.240.0,22,n/a
arin,ipv4,206.83.47.0,24,n/a
arin,ipv4,207.191.240.0,21,n/a
arin,ipv4,208.84.200.0,21,n/a
arin,ipv6,2600:1e00::,28,n/a
arin,ipv6,2602:fce4::,36,n/a
ripencc,ipv4,178.255.200.0,21,vc.alpari;ALPARI LIMITED
ripencc,ipv6,2a01:a440::,32,vc.alpari;ALPARI LIMITED
