region,ip,prefixlength,state
ripencc,195.210.8.0,24,assigned
ripencc,195.137.180.0,24,assigned
ripencc,195.137.160.0,24,assigned
ripencc,194.62.64.0,24,assigned
ripencc,193.151.40.0,22,assigned
ripencc,193.105.82.0,24,assigned
ripencc,193.58.255.0,24,assigned
ripencc,193.17.173.0,24,assigned
ripencc,176.118.152.0,21,assigned
ripencc,91.220.250.0,24,assigned
ripencc,91.215.176.0,22,assigned
ripencc,91.90.222.0,23,assigned
ripencc,46.175.168.0,21,assigned
ripencc,31.130.200.0,21,assigned
ripencc,217.23.112.0,20,allocated
ripencc,217.21.48.0,20,allocated
ripencc,217.21.32.0,20,allocated
ripencc,213.184.224.0,19,allocated
ripencc,212.98.160.0,19,allocated
ripencc,195.222.64.0,19,allocated
ripencc,195.50.0.0,19,allocated
ripencc,194.158.192.0,19,allocated
ripencc,193.176.180.0,22,allocated
ripencc,185.255.76.0,22,allocated
ripencc,185.227.96.0,22,allocated
ripencc,185.204.116.0,22,allocated
ripencc,185.203.152.0,22,allocated
ripencc,185.186.208.0,22,allocated
ripencc,185.183.120.0,22,allocated
ripencc,185.179.80.0,22,allocated
ripencc,185.158.216.0,22,allocated
ripencc,185.152.136.0,22,allocated
ripencc,185.137.116.0,22,allocated
ripencc,185.128.200.0,22,allocated
ripencc,185.123.184.0,22,allocated
ripencc,185.99.142.0,23,allocated
ripencc,185.79.16.0,22,allocated
ripencc,185.70.12.0,22,allocated
ripencc,185.66.68.0,22,allocated
ripencc,185.65.137.0,24,allocated
ripencc,185.61.104.0,22,allocated
ripencc,185.53.72.0,22,allocated
ripencc,185.47.152.0,23,allocated
ripencc,185.32.224.0,22,allocated
ripencc,185.20.112.0,22,allocated
ripencc,185.15.156.0,22,allocated
ripencc,185.11.76.0,22,allocated
ripencc,185.6.24.0,22,allocated
ripencc,178.172.128.0,17,allocated
ripencc,178.168.128.0,17,allocated
ripencc,178.163.128.0,17,allocated
ripencc,178.159.240.0,21,allocated
ripencc,178.159.44.0,22,allocated
ripencc,178.154.0.0,17,allocated
ripencc,178.120.0.0,13,allocated
ripencc,176.60.0.0,16,allocated
ripencc,164.177.192.0,18,allocated
ripencc,146.19.254.0,24,allocated
ripencc,134.17.0.0,16,allocated
ripencc,128.140.240.0,20,allocated
ripencc,128.65.0.0,18,allocated
ripencc,109.126.128.0,18,allocated
ripencc,95.130.80.0,21,allocated
ripencc,95.128.64.0,21,allocated
ripencc,94.154.118.0,24,allocated
ripencc,93.191.96.0,21,allocated
ripencc,93.189.224.0,21,allocated
ripencc,93.177.124.0,24,allocated
ripencc,93.125.0.0,17,allocated
ripencc,93.84.0.0,15,allocated
ripencc,91.149.128.0,18,allocated
ripencc,87.252.224.0,19,allocated
ripencc,86.57.128.0,17,allocated
ripencc,82.209.192.0,18,allocated
ripencc,81.91.190.0,23,allocated
ripencc,81.30.80.0,20,allocated
ripencc,80.249.80.0,20,allocated
ripencc,80.94.224.0,20,allocated
ripencc,80.94.160.0,20,allocated
ripencc,79.170.104.0,21,allocated
ripencc,79.98.48.0,21,allocated
ripencc,78.140.252.0,22,allocated
ripencc,77.74.32.0,21,allocated
ripencc,46.216.0.0,16,allocated
ripencc,46.191.0.0,17,allocated
ripencc,46.182.48.0,21,allocated
ripencc,46.56.128.0,17,allocated
ripencc,46.56.0.0,17,allocated
ripencc,46.53.128.0,17,allocated
ripencc,46.28.96.0,21,allocated
ripencc,37.212.0.0,14,allocated
ripencc,37.45.0.0,16,allocated
ripencc,37.44.64.0,18,allocated
ripencc,37.17.0.0,17,allocated
ripencc,31.24.88.0,21,allocated
ripencc,5.100.192.0,19,allocated
