region,ip,prefixlength
afrinic,2001:4200::,23
afrinic,2c00:0000::,12
apnic,2001:0200::,23
apnic,2001:0c00::,24
apnic,2001:0d00::,25
apnic,2001:0d80::,27
apnic,2001:0da0::,28
apnic,2001:0db0::,29
apnic,2001:0db9::,32
apnic,2001:0dba::,31
apnic,2001:0dbc::,30
apnic,2001:0dc0::,26
apnic,2001:0e00::,23
apnic,2001:4400::,23
apnic,2001:8000::,19
apnic,2001:a000::,20
apnic,2001:b000::,20
apnic,2400:0000::,12
arin,2001:0400::,23
arin,2001:1800::,23
arin,2001:4800::,23
arin,2600:0000::,12
arin,2610:0000::,23
arin,2620:0000::,23
arin,2630:0000::,12
lacnic,2001:1200::,23
lacnic,2800:0000::,12
ripencc,2001:0600::,23
ripencc,2001:0800::,23
ripencc,2001:0a00::,23
ripencc,2001:1400::,23
ripencc,2001:1600::,23
ripencc,2001:1a00::,23
ripencc,2001:1c00::,22
ripencc,2001:2000::,20
ripencc,2001:3000::,21
ripencc,2001:3800::,22
ripencc,2001:3c00::,22
ripencc,2001:4000::,23
ripencc,2001:4600::,23
ripencc,2001:4a00::,23
ripencc,2001:4c00::,23
ripencc,2001:5000::,20
ripencc,2003:0000::,18
ripencc,2a00:0000::,12
ripencc,2a10:0000::,12
