version,ip,prefixlength
ipv4,27.98.192.0,20
ipv4,27.112.96.0,22
ipv4,27.123.224.0,22
ipv4,27.124.64.0,20
ipv4,27.126.156.0,22
ipv4,36.50.0.0,19
ipv4,36.50.32.0,22
ipv4,36.50.37.0,24
ipv4,36.50.38.0,23
ipv4,36.50.40.0,21
ipv4,36.50.48.0,23
ipv4,36.50.51.0,24
ipv4,36.50.52.0,22
ipv4,36.50.56.0,21
ipv4,36.50.64.0,18
ipv4,36.50.128.0,17
ipv4,43.225.128.0,22
ipv4,43.227.184.0,22
ipv4,43.228.104.0,22
ipv4,43.228.164.0,22
ipv4,43.228.172.0,22
ipv4,43.228.252.0,22
ipv4,43.229.16.0,22
ipv4,43.230.172.0,22
ipv4,43.231.130.0,23
ipv4,43.237.196.0,22
ipv4,43.240.52.0,22
ipv4,43.240.116.0,22
ipv4,43.240.232.0,22
ipv4,43.241.100.0,22
ipv4,43.241.196.0,22
ipv4,43.241.244.0,22
ipv4,43.242.4.0,22
ipv4,43.242.232.0,22
ipv4,43.243.248.0,22
ipv4,43.248.56.0,22
ipv4,43.248.252.0,22
ipv4,43.249.20.0,22
ipv4,43.249.124.0,22
ipv4,43.250.180.0,22
ipv4,45.65.56.0,23
ipv4,45.115.16.0,22
ipv4,45.115.40.0,22
ipv4,45.117.56.0,22
ipv4,45.117.84.0,22
ipv4,45.117.132.0,22
ipv4,45.118.252.0,22
ipv4,45.119.40.0,22
ipv4,45.119.120.0,22
ipv4,45.120.192.0,22
ipv4,45.121.140.0,22
ipv4,45.123.140.0,22
ipv4,45.125.28.0,22
ipv4,45.125.224.0,22
ipv4,45.126.40.0,22
ipv4,45.126.248.0,22
ipv4,45.248.112.0,21
ipv4,45.248.176.0,22
ipv4,45.248.184.0,22
ipv4,45.249.60.0,22
ipv4,45.249.180.0,22
ipv4,45.249.224.0,22
ipv4,45.251.248.0,22
ipv4,49.143.248.0,22
ipv4,49.213.32.0,19
ipv4,101.1.16.0,20
ipv4,101.101.96.0,22
ipv4,103.6.120.0,21
ipv4,103.15.88.0,21
ipv4,103.20.96.0,21
ipv4,103.21.96.0,21
ipv4,103.23.88.0,21
ipv4,103.26.24.0,21
ipv4,103.38.104.0,21
ipv4,103.38.216.0,21
ipv4,103.41.72.0,21
ipv4,103.42.240.0,21
ipv4,103.43.56.0,21
ipv4,103.55.248.0,21
ipv4,103.60.88.0,21
ipv4,103.65.120.0,21
ipv4,103.65.128.0,20
ipv4,103.67.40.0,21
ipv4,103.67.48.0,20
ipv4,103.67.64.0,19
ipv4,103.71.104.0,21
ipv4,103.71.208.0,20
ipv4,103.72.56.0,21
ipv4,103.72.64.0,21
ipv4,103.75.72.0,21
ipv4,103.75.80.0,21
ipv4,103.76.104.0,21
ipv4,103.77.176.0,21
ipv4,103.77.208.0,21
ipv4,103.77.240.0,21
ipv4,103.78.0.0,21
ipv4,103.80.224.0,21
ipv4,103.97.196.0,22
ipv4,103.97.224.0,22
ipv4,103.98.0.0,22
ipv4,103.98.192.0,22
ipv4,103.99.132.0,22
ipv4,103.99.136.0,21
ipv4,103.99.144.0,22
ipv4,103.100.176.0,22
ipv4,103.101.96.0,22
ipv4,103.101.140.0,22
ipv4,103.101.216.0,22
ipv4,103.102.16.0,22
ipv4,103.105.8.0,22
ipv4,103.105.56.0,22
ipv4,103.105.92.0,22
ipv4,103.105.120.0,22
ipv4,103.106.104.0,22
ipv4,103.107.136.0,22
ipv4,103.107.176.0,22
ipv4,103.107.240.0,22
ipv4,103.108.44.0,22
ipv4,103.108.64.0,22
ipv4,103.109.8.0,22
ipv4,103.109.184.0,22
ipv4,103.109.204.0,22
ipv4,103.110.32.0,22
ipv4,103.110.100.0,22
ipv4,103.110.180.0,22
ipv4,103.111.4.0,22
ipv4,103.111.156.0,22
ipv4,103.111.228.0,22
ipv4,103.112.40.0,22
ipv4,103.113.36.0,22
ipv4,103.114.252.0,22
ipv4,103.115.88.0,22
ipv4,103.115.108.0,22
ipv4,103.115.152.0,22
ipv4,103.116.8.0,22
ipv4,103.116.36.0,22
ipv4,103.116.52.0,22
ipv4,103.116.80.0,22
ipv4,103.116.136.0,22
ipv4,103.116.236.0,22
ipv4,103.117.44.0,22
ipv4,103.117.56.0,22
ipv4,103.117.196.0,22
ipv4,103.118.28.0,22
ipv4,103.118.148.0,22
ipv4,103.119.80.0,22
ipv4,103.119.172.0,22
ipv4,103.119.176.0,22
ipv4,103.119.184.0,22
ipv4,103.120.60.0,22
ipv4,103.121.4.0,22
ipv4,103.121.64.0,22
ipv4,103.121.176.0,22
ipv4,103.121.184.0,22
ipv4,103.122.0.0,22
ipv4,103.122.8.0,22
ipv4,103.122.80.0,22
ipv4,103.122.140.0,22
ipv4,103.122.144.0,22
ipv4,103.122.160.0,22
ipv4,103.122.204.0,22
ipv4,103.122.212.0,22
ipv4,103.122.220.0,22
ipv4,103.123.60.0,22
ipv4,103.123.152.0,22
ipv4,103.123.172.0,22
ipv4,103.124.20.0,22
ipv4,103.124.28.0,22
ipv4,103.124.76.0,22
ipv4,103.124.120.0,22
ipv4,103.124.208.0,22
ipv4,103.125.88.0,22
ipv4,103.125.100.0,22
ipv4,103.125.180.0,22
ipv4,103.126.40.0,22
ipv4,103.127.96.0,22
ipv4,103.127.132.0,22
ipv4,103.127.136.0,22
ipv4,103.127.208.0,22
ipv4,103.127.216.0,21
ipv4,103.129.16.0,22
ipv4,103.129.100.0,22
ipv4,103.129.124.0,22
ipv4,103.129.148.0,22
ipv4,103.129.172.0,22
ipv4,103.130.16.0,22
ipv4,103.130.80.0,22
ipv4,103.130.116.0,22
ipv4,103.130.188.0,22
ipv4,103.130.236.0,22
ipv4,103.131.56.0,22
ipv4,103.131.84.0,22
ipv4,103.131.100.0,22
ipv4,103.131.128.0,21
ipv4,103.131.136.0,22
ipv4,103.131.148.0,22
ipv4,103.131.196.0,22
ipv4,103.131.248.0,22
ipv4,103.132.20.0,22
ipv4,103.132.40.0,22
ipv4,103.132.100.0,22
ipv4,103.133.156.0,22
ipv4,103.133.196.0,22
ipv4,103.133.244.0,22
ipv4,103.134.32.0,22
ipv4,103.134.232.0,22
ipv4,103.135.64.0,22
ipv4,103.135.120.0,22
ipv4,103.137.44.0,22
ipv4,103.137.228.0,22
ipv4,103.139.52.0,22
ipv4,103.167.100.0,22
ipv4,103.193.72.0,22
ipv4,103.193.144.0,22
ipv4,103.193.176.0,22
ipv4,103.196.0.0,22
ipv4,103.196.144.0,22
ipv4,103.196.152.0,22
ipv4,103.196.164.0,22
ipv4,103.196.176.0,22
ipv4,103.196.184.0,22
ipv4,103.197.76.0,22
ipv4,103.197.104.0,22
ipv4,103.197.156.0,22
ipv4,103.197.252.0,22
ipv4,103.198.152.0,22
ipv4,103.199.140.0,22
ipv4,103.200.116.0,22
ipv4,103.200.204.0,22
ipv4,103.203.68.0,22
ipv4,103.203.204.0,22
ipv4,103.203.232.0,21
ipv4,103.203.240.0,21
ipv4,103.203.248.0,22
ipv4,103.204.0.0,22
ipv4,103.204.28.0,22
ipv4,103.204.32.0,22
ipv4,103.204.40.0,21
ipv4,103.204.48.0,22
ipv4,103.204.92.0,22
ipv4,103.204.116.0,24
ipv4,103.204.176.0,22
ipv4,103.205.60.0,22
